Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
224, 106.825, 63.6171, 152.273, 12, 0.043611
225, 109.737, 64.0124, 152.88, 12, 0.121061
226, 97.732, 64.2636, 152.873, 12, 0.0526274
227, 118.703, 64.6386, 152.84, 12, 0.110658
228, 97.319, 64.8886, 152.833, 12, 0.0611242
229, 106.725, 65.1928, 152.83, 12, 0.0510932
230, 113.527, 65.4938, 152.793, 12, 0.0505385
231, 108.695, 65.7451, 152.795, 12, 0.057796
232, 117.493, 66.0451, 152.795, 12, 0.0476853
233, 113.954, 66.2466, 153.23, 12, 0.114364
234, 113.869, 66.6474, 154.948, 12, 0.122145
235, 113.232, 66.8974, 154.923, 12, 0.100342
236, 108.896, 67.2474, 155.623, 12, 0.0916187
237, 92.351, 67.5474, 155.543, 12, 0.0917397
238, 109.126, 67.7974, 156.338, 12, 0.122198
239, 99.237, 68.0974, 156.268, 12, 0.113722
240, 111.624, 68.3985, 157.305, 12, 0.102904
241, 117.654, 68.7077, 160.893, 12, 0.0999092
242, 102.351, 68.9449, 162.365, 12, 0.197534
243, 109.202, 69.2141, 163.31, 12, 0.139085
244, 109.582, 69.565, 164.375, 12, 0.153153
245, 113.488, 69.82, 165.465, 12, 0.219594
246, 119.113, 70.0712, 169.523, 12, 0.211503
247, 119.717, 70.3224, 172.47, 12, 0.209883
248, 109.829, 70.6387, 176.238, 12, 0.242535
249, 120.994, 71.0027, 179.125, 12, 0.280804
250, 113.216, 71.2539, 181.038, 12, 0.241337
251, 115.972, 71.555, 181.97, 12, 0.266787
252, 105.608, 71.77, 181.97, 12, 0.206296
253, 118.186, 72.0495, 181.953, 12, 0.23952
254, 92.802, 72.4031, 181.953, 12, 0.310517
255, 112.706, 72.6531, 181.95, 12, 0.207906
256, 112.923, 72.9541, 181.95, 12, 0.258916
257, 114.85, 73.2303, 182.418, 12, 0.236887
258, 103.829, 73.5313, 182.79, 12, 0.262599
259, 104.752, 73.7825, 184.34, 12, 0.211764
260, 125.996, 74.0375, 184.018, 12, 0.209978
